,Random Forest,Gradient Boosting
auc score,0.6827294207964977,0.6906131694910622
accuracy rate,0.574468085106383,0.625
recall rate,0.05852601156069364,0.025289017341040464
f1 score,0.1062295081967213,0.04861111111111111
